Name,Description,Latitude,Longitude,InfoURL,ImageURL
Caje,Groovy café in the heart of Isla Vista with the best match lattes,34.412122,-119.855325,https://caje.coffee/pages/cajeiv,https://b.zmtcdn.com/data/reviews_photos/829/0d0e39db85f8f245ac7e7fabaa8a1829.jpg
Sagrada Familia,"Beautiful basicalla designed by Aontonie Gaudi, which after 137 year is still under construction.",41.403135,2.173825,https://sagradafamilia.org/en/,https://resize.hswstatic.com/w_907/gif/sagrada-familia-2.jpg
Korculanski Plivaski Klub,"An olympic sized salt water pool built into the Adriatic Sea on the Island of Korcula, where I grew up swimming every summer. ",42.957424,17.0813,https://www.korculainfo.com/kpk/,https://www.korculainfo.com/blog/wp-content/uploads/2015/04/kpk4.jpeg
SF MOMA,"The San Francisco Museum of modern art is acool museum with that dispays contemprary art work from around the world in its newly renovated space in the heart of San Francisco, CA. ",37.785689,-122.401121,https://www.sfmoma.org/museumfromhome/?gclid=EAIaIQobChMIso7Cjqnf6QIVRQnnCh1aoAf7EAAYASAAEgJL4vD_BwE,https://upload.wikimedia.org/wikipedia/commons/5/57/2017_SFMOMA_from_Yerba_Buena_Gardens.jpg
Wildcat lounge,A popular bar in down town Santa Barbara known for being packed to the brim with UCSB and SBCC students on Thursday nights.,34.4180788,-119.7005966,https://www.wildcatlounge.com/,https://www.travelgay.com/wp-content/uploads/2018/06/wildcat2-480x240.jpg
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,